gene_id,Exp_2_3,Neg_1_2
CELE_Y74C10AR.3|abtm-1,900,792
CELE_Y74C10AL.2|Y74C10AL.2,1621,1495
CELE_Y74C10AR.2|Y74C10AR.2,15,0
CELE_Y74C10AR.1|eif-3.I,9146,8443
CELE_Y23H5B.6|ddx-10,3488,3195
CELE_Y23H5B.7|Y23H5B.7,29,18
CELE_Y23H5B.3|Y23H5B.3,37,19
CELE_Y23H5B.14|mir-8193,0,0
CELE_Y23H5B.4|dmsr-2,142,142
CELE_Y23H5B.5|Y23H5B.5,3562,3495
CELE_Y23H5B.2|Y23H5B.2,13,12
CELE_Y23H5B.8|Y23H5B.8,250,225
CELE_Y23H5B.1|nssp-1,61,93
CELE_Y23H5B.12|Y23H5B.12,0,0
CELE_C55C2.2|ssp-19,33,12
CELE_C55C2.1|scrt-1,23,70
CELE_C55C2.5|aat-5,223,294
CELE_K07A3.2|ptr-12,210,215
CELE_K07A3.3|K07A3.3,57,0
CELE_K07A3.1|fbp-1,5147,4464
CELE_Y23H5A.5|ctn-1,1359,1277
CELE_Y23H5A.11|Y23H5A.11,0,0
CELE_Y23H5A.9|Y23H5A.9,0,0
CELE_Y23H5A.4|spe-47,28,22
CELE_Y23H5A.8|Y23H5A.8,27,28
CELE_Y23H5A.1|cars-2,310,287
CELE_F40E3.7|F40E3.7,33,48
CELE_F40E3.10|linc-23,0,0
CELE_F40E3.6|F40E3.6,0,0
CELE_F40E3.9|F40E3.9,0,0
CELE_F40E3.8|F40E3.8,0,0
CELE_F40E3.5|F40E3.5,92,38
CELE_F40E3.2|mage-1,2061,1850
CELE_Y23H5A.3|pid-3,5608,5414
CELE_Y23H5A.2|Y23H5A.2,713,706
CELE_Y23H5A.7|cars-1,9593,9374
CELE_F32B5.12|F32B5.12,0,0
CELE_F32B5.7|F32B5.7,405,389
CELE_F32B5.6|F32B5.6,2543,2096
CELE_F32B5.4|msrp-1,63,15
CELE_F32B5.10|F32B5.10,0,0
CELE_F32B5.2|F32B5.2,18,22
CELE_F32B5.9|F32B5.9,0,0
CELE_F32B5.8|cpz-1,14612,12343
CELE_F32B5.16|F32B5.16,0,0
CELE_F32B5.11|F32B5.11,0,0
CELE_F32B5.1|F32B5.1,1161,820
CELE_Y71F9B.5|lin-17,840,853
CELE_W03D8.5|W03D8.5,33,0
CELE_W10C8.1|ccb-2,0,0
CELE_W10C8.17|W10C8.17,0,0
CELE_W03D8.11|W03D8.11,23,19
CELE_W03D8.3|W03D8.3,12,8
CELE_W10C8.2|pop-1,4311,4079
CELE_Y71F9B.17|Y71F9B.17,0,0
CELE_Y71F9B.19|Y71F9B.19,0,0
CELE_Y71F9B.22|Y71F9B.22,0,0
CELE_Y71F9B.18|Y71F9B.18,0,0
CELE_Y71F9B.20|Y71F9B.20,0,0
CELE_Y71F9B.9|Y71F9B.9,230,209
CELE_Y71F9B.24|Y71F9B.24,0,0
CELE_W03D8.14|W03D8.14,0,0
CELE_W03D8.2|W03D8.2,38,22
CELE_W03D8.12|W03D8.12,0,0
CELE_W03D8.6|itx-1,2422,2855
CELE_Y71F9B.16|dnj-30,1757,1681
CELE_Y71F9B.6|Y71F9B.6,1667,1463
CELE_Y71F9B.4|snr-7,2263,2141
CELE_Y71F9B.3|yop-1,10111,9213
CELE_Y71F9B.2|Y71F9B.2,1477,1327
CELE_Y71F9B.8|lron-11,1144,717
CELE_Y71F9B.7|plk-2,5378,5098
CELE_Y71F9B.10|sop-3,6228,6309
CELE_Y71F9B.1|Y71F9B.1,553,454
CELE_Y71F9B.13|Y71F9B.13,656,535
CELE_W03D8.9|W03D8.9,313,66
CELE_W03D8.10|W03D8.10,26,0
CELE_W03D8.8|W03D8.8,102,117
CELE_W03D8.7|W03D8.7,36,51
CELE_W10C8.6|W10C8.6,46,85
CELE_W10C8.4|W10C8.4,54,45
CELE_W10C8.10|W10C8.10,0,0
CELE_W10C8.5|W10C8.5,3436,2377
CELE_Y71F9AL.22|mir-5546,0,0
CELE_Y71F9AL.24|Y71F9AL.24,0,0
CELE_Y71F9AL.10|Y71F9AL.10,2106,2084
CELE_Y71F9AL.12|Y71F9AL.12,2661,2374
CELE_Y71F9AL.13|rpl-10a,39679,40280
CELE_Y71F9AL.9|Y71F9AL.9,14555,12952
CELE_Y71F9AL.8|Y71F9AL.8,872,871
CELE_Y71F9AL.14|dnc-5,1230,1089
CELE_Y71F9AL.16|arx-1,5141,4997
CELE_Y71F9AL.7|Y71F9AL.7,214,229
CELE_Y71F9AL.25|Y71F9AL.25,160,152
CELE_Y71F9AL.6|Y71F9AL.6,92,94
CELE_Y71F9AL.5|gst-43,268,260
